City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,udachny,66.4167,112.4,-17.4,96,99,1.48,RU,1709606224
83,papao,-17.75,-149.55,30.82,77,42,6.6,PF,1709606224
84,southwater,51.0237,-0.3517,7.95,93,75,2.06,GB,1709606225
85,asaita,11.5636,41.4394,25.53,74,73,3.08,ET,1709606225
86,porto velho,-8.7619,-63.9039,28.03,78,20,1.03,BR,1709606226
87,chibuto,-24.6867,33.5306,22.44,83,0,3.38,MZ,1709606227
88,raichur,16.2,77.3667,27.08,38,8,4.98,IN,1709605968
89,fort st. john,56.2499,-120.8529,-17.06,55,75,1.54,CA,1709606228
90,ancud,-41.8697,-73.8203,10.87,84,12,1.14,CL,1709606228
91,cuiaba,-15.5961,-56.0967,24.96,94,75,3.09,BR,1709606229
92,marsh harbour,26.5412,-77.0636,23.01,82,15,5.19,BS,1709606206
93,lebu,-37.6167,-73.65,12.73,88,1,6.88,CL,1709606230
94,barah,13.7,30.3667,18.67,12,72,4.13,SD,1709606230
95,jamestown,42.097,-79.2353,17.77,83,12,6.17,US,1709606231
96,marion,39.7684,-86.1555,19.55,72,20,4.63,US,1709606231
97,nyurba,63.2842,118.3319,-11.83,91,100,1.93,RU,1709606232
98,vangaindrano,-23.35,47.6,24.09,95,97,1.0,MG,1709606232
99,tralee,52.2704,-9.7026,6.69,93,100,14.02,IE,1709606233
100,cao bang,22.6667,106.25,26.69,55,0,1.14,VN,1709606234
101,nuuk,64.1835,-51.7216,-8.66,48,75,4.63,GL,1709606234
102,puqi,29.7167,113.8833,8.8,90,100,2.45,CN,1709606235
103,luis correia,-2.8792,-41.6669,25.05,87,96,0.87,BR,1709606235
104,along,28.1667,94.7667,16.39,95,98,0.53,IN,1709606236
105,cidreira,-30.1811,-50.2056,21.05,67,90,3.1,BR,1709606236
106,albany,42.6001,-73.9662,12.23,80,100,3.65,US,1709605797
107,saipan,15.1355,145.701,29.39,70,40,7.72,MP,1709606237
108,bayganin,48.6947,55.8742,-12.3,92,10,1.5,KZ,1709606238
109,minas de marcona,-15.2119,-75.1103,19.28,80,65,4.18,PE,1709606238
110,utrik,11.2278,169.8474,26.53,79,85,10.37,MH,1709606239
111,miles city,46.4083,-105.8406,-5.46,79,0,5.14,US,1709606239
112,goz beida,13.95,20.55,25.49,13,32,3.47,TD,1709606240
113,las lomas,8.4333,-82.4,25.67,89,20,4.47,PA,1709606241
114,karukh,34.4811,62.5863,3.42,55,100,1.28,AF,1709606241
115,vorkuta,67.5,64.0,-18.24,98,100,1.78,RU,1709606242
116,coari,-4.085,-63.1414,23.97,95,94,1.35,BR,1709606242
117,fisterra,42.9049,-9.2629,7.64,60,67,5.82,ES,1709606243
118,college,64.8569,-147.8028,-6.42,49,100,1.54,US,1709606244
119,jaisinghnagar,23.7,81.3833,18.77,40,0,1.59,IN,1709606244
120,sinjai,-5.1241,120.253,31.02,67,58,2.35,ID,1709606245
121,zhangye,38.9342,100.4517,-1.88,73,100,0.54,CN,1709606246
122,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,71,0,2.68,RU,1709606247
123,pitkyaranta,61.5734,31.4792,-4.16,94,59,2.51,RU,1709606247
124,mhamid,29.82,-5.72,15.12,19,25,2.09,MA,1709606248
125,namibe,-15.1961,12.1522,23.55,84,98,2.34,AO,1709606248
126,kodiak,57.79,-152.4072,0.73,100,100,0.0,US,1709606249
127,grand falls-windsor,48.9332,-55.6649,-5.28,56,88,0.89,CA,1709605972
128,port macquarie,-31.4333,152.9167,24.38,52,95,2.5,AU,1709606250
129,vilyuysk,63.7553,121.6247,-15.48,91,100,1.43,RU,1709606002
130,borkum,53.5809,6.6915,8.3,94,100,5.51,DE,1709606251
131,geraldton,-28.7667,114.6,28.23,54,0,7.72,AU,1709606066
132,vernon,50.2581,-119.2691,-0.8,56,53,1.54,CA,1709606252
133,chonchi,-42.6128,-73.8092,10.56,85,32,1.22,CL,1709606253
134,marks,51.7111,46.7486,-17.13,100,88,0.84,RU,1709606253
135,nampula,-15.1165,39.2666,23.97,94,75,1.03,MZ,1709606240
136,kralendijk,12.15,-68.2667,26.99,78,4,4.63,BQ,1709606255
137,tevriz,57.509,72.4042,-2.12,94,100,4.76,RU,1709606255
138,mount pearl,47.5166,-52.7813,-4.26,69,0,6.17,CA,1709606256
139,avarua,-21.2078,-159.775,29.03,70,40,5.66,CK,1709606256
140,'ain merane,36.1628,0.9704,9.66,86,92,2.52,DZ,1709606257
141,sao tome,0.3365,6.7273,27.91,81,99,3.15,ST,1709606257
142,thunder bay,48.4001,-89.3168,-0.01,51,0,3.09,CA,1709606258
143,mogocha,53.7333,119.7667,-10.59,63,20,1.0,RU,1709606258
144,coquimbo,-29.9533,-71.3436,17.85,88,0,0.51,CL,1709606259
145,nar'yan-mar,67.6713,53.087,-23.65,100,100,1.41,RU,1709606259
146,keflavik,64.0049,-22.5624,6.24,87,75,12.35,IS,1709606260
147,girifalco,38.8243,16.4241,4.93,93,75,0.51,IT,1709606260
148,dakhla,23.6848,-15.958,16.51,86,2,8.83,EH,1709606261
149,ushirombo,-3.4919,31.9639,17.94,95,100,0.81,TZ,1709606262
150,oxelosund,58.6706,17.1015,0.21,93,75,4.12,SE,1709606262
151,angra dos reis,-23.0067,-44.3181,24.44,84,1,0.91,BR,1709606263
152,samana,19.2056,-69.3369,23.24,79,16,3.63,DO,1709606263
153,touros,-5.1989,-35.4608,26.59,82,96,2.96,BR,1709606264
154,athens,37.9795,23.7162,12.59,90,34,3.13,GR,1709605965
155,san patricio,28.017,-97.5169,23.08,91,100,2.52,US,1709606265
156,marsa alam,25.0757,34.8918,19.2,43,0,4.78,EG,1709606053
157,wailua homesteads,22.0669,-159.378,24.24,74,75,7.72,US,1709606266
158,nogliki,51.8333,143.1667,-10.37,83,76,2.68,RU,1709606266
159,zinjibar,13.1287,45.3807,25.32,83,80,5.19,YE,1709606267
160,semey,50.4111,80.2275,-5.88,79,100,5.0,KZ,1709606267
161,alvaraes,-3.2208,-64.8042,23.89,97,97,1.12,BR,1709606240
162,lida,53.8833,25.2997,1.97,93,100,7.06,BY,1709606268
163,hengchun,22.0042,120.7439,25.82,79,0,5.48,TW,1709606269
164,uturoa,-16.7333,-151.4333,28.66,75,88,5.68,PF,1709606270
165,mandvi,22.8333,69.3667,19.01,32,0,4.37,IN,1709606270
166,klyuchi,52.2667,79.1667,-10.43,87,98,5.88,RU,1709606271
167,pacific grove,36.6177,-121.9166,12.46,75,0,2.06,US,1709606271
168,moose jaw,50.4001,-105.5344,-20.86,71,21,3.6,CA,1709606144
169,mikhaylovskoye,51.8239,79.7172,-8.67,87,96,5.23,RU,1709606272
170,maumere,-8.6199,122.2111,29.27,77,67,0.81,ID,1709606273
171,vadso,70.0744,29.7487,-3.51,86,99,5.66,NO,1709606273
172,safi,32.1667,-8.8333,10.39,90,55,4.72,MA,1709606274
173,camacupa,-12.0167,17.4833,16.99,91,97,0.82,AO,1709606274
174,washington,47.5001,-120.5015,3.22,61,40,2.09,US,1709606275
175,changnyeong,35.5415,128.4951,6.77,87,100,2.06,KR,1709606275
176,svetlyy,54.675,20.1347,4.09,89,94,6.64,RU,1709606276
177,cabo san lucas,22.8909,-109.9124,22.64,67,20,3.6,MX,1709605788
178,sainte-anne-des-monts,49.124,-66.4924,-4.07,74,100,1.54,CA,1709606277
179,alice springs,-23.7,133.8833,37.34,27,57,3.13,AU,1709606259
180,tiksi,71.6872,128.8694,-20.34,98,100,1.6,RU,1709606278
181,petoskey,45.3733,-84.9553,6.79,87,100,4.02,US,1709606278
182,mount isa,-20.7333,139.5,33.87,52,40,3.6,AU,1709606279
